###,Module,positions,-,created,on,Sat,13,Jun,2015,02:13:41,PM,MDT,###
###,Printed,by,Pcbnew,version,pcbnew,(22-Jun-2014,BZR,4027)-stable,,,,,
##,Unit,=,inches,Angle,=,deg.,,,,,,,
##,Side,:,F.Cu,,,,,,,,,,
Ref,Val,Package,PosX,PosY,Rot,Side,Digikey Part#,MacroFab Part#,,,,,
AE1,ANTENNA,U.FL_SMT_ANTENNA,1.9,3.825,90,F.Cu,H9161CT-ND,,,,,,
AE2,ANTENNA,SPLATCH_ANTENNA,0.75,1.075,180,F.Cu,ANT-418-SP-ND,,,,,,
C1,0.1uF,SM0603,1.525,2.175,270,F.Cu,1276-1012-1-ND,MF-CAP-0603-0.1uF,,,,,
C2,0.1uF,SM0603,1.25,2.675,180,F.Cu,1276-1012-1-ND,MF-CAP-0603-0.1uF,,,,,
C3,0.1uF,SM0603,1.425,2.85,90,F.Cu,1276-1012-1-ND,MF-CAP-0603-0.1uF,,,,,
C4,0.1uF,SM0603,1.875,2.85,90,F.Cu,1276-1012-1-ND,MF-CAP-0603-0.1uF,,,,,
C5,0.1uF,SM0603,2,2.375,270,F.Cu,1276-1012-1-ND,MF-CAP-0603-0.1uF,,,,,
C6,0.1uF,SM0603,4.05,3,0,F.Cu,1276-1012-1-ND,MF-CAP-0603-0.1uF,,,,,
C7,470uF,c_elec_10x10,3.1,3,0,F.Cu,493-6225-2-ND,MF-CAP-10MM-470uF,,,,,
C8,18pF,SM0603,1.8,1.85,0,F.Cu,1276-1089-1-ND,MF-CAP-0603-18pF,,,,,
C9,18pF,SM0603,1.65,1.85,180,F.Cu,1276-1089-1-ND,MF-CAP-0603-18pF,,,,,
C10,1uF,SM0603,1.25,2.55,180,F.Cu,311-1445-1-ND,MF-CAP-0603-1uF,,,,,
C11,0.1uF,SM0603,4.05,2.1,0,F.Cu,1276-1012-1-ND,MF-CAP-0603-0.1uF,,,,,
C12,470uF,c_elec_10x10,3.1,2.1,0,F.Cu,493-6225-2-ND,MF-CAP-10MM-470uF,,,,,
C13,0.1uF,SM0603,1.55,2.975,90,F.Cu,1276-1012-1-ND,MF-CAP-0603-0.1uF,,,,,
C14,0.1uF,SM0603,1.875,3.425,180,F.Cu,1276-1012-1-ND,MF-CAP-0603-0.1uF,,,,,
C15,10uF,SM0603,1.875,3.5,180,F.Cu,1276-1119-1-ND,,,,,,
C16,0.1uF,SM0603,4.05,1.2,0,F.Cu,1276-1012-1-ND,MF-CAP-0603-0.1uF,,,,,
C17,470uF,c_elec_10x10,3.1,1.2,0,F.Cu,493-6225-2-ND,MF-CAP-10MM-470uF,,,,,
C18,0.1uF,SM0603,2.7,0.825,180,F.Cu,1276-1012-1-ND,MF-CAP-0603-0.1uF,,,,,
C19,0.1uF,SM0603,2.7,0.75,180,F.Cu,1276-1012-1-ND,MF-CAP-0603-0.1uF,,,,,
C20,10uF,SM0603,2.7,0.675,180,F.Cu,1276-1119-1-ND,,,,,,
C21,0.1uF,SM0603,1.8,0.425,0,F.Cu,1276-1012-1-ND,MF-CAP-0603-0.1uF,,,,,
C22,10uF,SM0603,1.8,0.35,0,F.Cu,1276-1119-1-ND,,,,,,
C23,1uF,SM0603,3.55,1,180,F.Cu,311-1445-1-ND,MF-CAP-0603-1uF,,,,,
C24,1uF,SM0603,3.2,0.925,270,F.Cu,311-1445-1-ND,MF-CAP-0603-1uF,,,,,
C25,1uF,SM0603,2.45,3.1,90,F.Cu,311-1445-1-ND,MF-CAP-0603-1uF,,,,,
C26,470uF,c_elec_10x10,3.1,0.425,0,F.Cu,493-6225-2-ND,MF-CAP-10MM-470uF,,,,,
C27,1uF,SM0603,3.05,0.925,90,F.Cu,311-1445-1-ND,MF-CAP-0603-1uF,,,,,
C28,1uF,SM0603,3.05,0.8,90,F.Cu,311-1445-1-ND,MF-CAP-0603-1uF,,,,,
C29,1uF,SM0603,2.375,3.1,90,F.Cu,311-1445-1-ND,MF-CAP-0603-1uF,,,,,
C30,1uF,SM0603,2.3,3.1,90,F.Cu,311-1445-1-ND,MF-CAP-0603-1uF,,,,,
CON1,USB-MINI-B,USB_MINI_B_fixed,0.35,3.15,0,F.Cu,151-1206-1-ND,,,,,,
D1,PESD5V0U2BT,SOT23,0.6,1.5,180,F.Cu,568-4296-1-ND,,,,,,
D2,PESD5V0U2BT,SOT23,0.75,1.5,180,F.Cu,568-4296-1-ND,,,,,,
D3,PESD5V0U2BT,SOT23,0.9,1.5,180,F.Cu,568-4296-1-ND,,,,,,
D4,LEARN,SMDLED-0603,2.575,0.6,270,F.Cu,160-1447-1-ND,MF-LED-0603-RED,,,,,
D5,5.1v,SOT23-SPECIAL,2.6,2.85,0,F.Cu,BZX84C5V1LT3GOSCT-ND,,,,,,
D6,5.1v,SOT23-SPECIAL,2.45,2.85,0,F.Cu,BZX84C5V1LT3GOSCT-ND,,,,,,
D7,5.1v,SOT23-SPECIAL,2.3,2.85,0,F.Cu,BZX84C5V1LT3GOSCT-ND,,,,,,
FID1,FIDUCIAL,FIDUCIAL,0.55,3.85,0,F.Cu,,,,,,,
FID2,FIDUCIAL,FIDUCIAL,4.15,0.35,0,F.Cu,,,,,,,
FID3,FIDUCIAL,FIDUCIAL,0.55,0.35,0,F.Cu,,,,,,,
JP1,JUMPER_SMALL,SMD_JUMPER,3.625,3.825,0,F.Cu,952-1474-6-ND,,,,,,
JP2,JUMPER_SMALL,SMD_JUMPER,3.625,3.075,0,F.Cu,952-1474-6-ND,,,,,,
JP3,JUMPER_SMALL,SMD_JUMPER,3.625,2.025,0,F.Cu,952-1474-6-ND,,,,,,
JP4,JUMPER_SMALL,SMD_JUMPER,3.625,1.275,0,F.Cu,952-1474-6-ND,,,,,,
JP5,JUMPER_SMALL,SMD_JUMPER,3.625,2.925,0,F.Cu,952-1474-6-ND,,,,,,
JP6,JUMPER_SMALL,SMD_JUMPER,3.625,2.175,0,F.Cu,952-1474-6-ND,,,,,,
K3,SWITCHES_AND_LED,MOLEX_10,0.3,1.9,90,F.Cu,WM10187-ND,,,,,,
L1,FERRITE_BEAD,SM0603,1.875,3.35,180,F.Cu,445-172727-1-ND,,,,,,
L2,FERRITE_BEAD,SM0603,2.675,1,270,F.Cu,445-172727-1-ND,,,,,,
L3,FERRITE_BEAD,SM0603,1.925,0.35,180,F.Cu,445-172727-1-ND,,,,,,
L4,FERRITE_BEAD,SM0603,3.125,0.925,270,F.Cu,445-172727-1-ND,,,,,,
L5,FERRITE_BEAD,SM0603,2.025,3.625,180,F.Cu,445-172727-1-ND,,,,,,
Q1,MOSFET_P,DPAK2,3.925,0.875,180,F.Cu,785-1222-1-ND,,,,,,
R1,1k,SM0603,1.15,1.625,270,F.Cu,RHM1.0KCGCT-ND,MF-RES-0603-1K,,,,,
R2,1k,SM0603,3.1,3.575,0,F.Cu,RHM1.0KCGCT-ND,MF-RES-0603-1K,,,,,
R3,1k,SM0603,3.225,3.625,0,F.Cu,RHM1.0KCGCT-ND,MF-RES-0603-1K,,,,,
R4,1k,SM0603,3.225,3.325,0,F.Cu,RHM1.0KCGCT-ND,MF-RES-0603-1K,,,,,
R5,1k,SM0603,3.1,3.275,0,F.Cu,RHM1.0KCGCT-ND,MF-RES-0603-1K,,,,,
R6,1k,SM0603,3.1,3.475,0,F.Cu,RHM1.0KCGCT-ND,MF-RES-0603-1K,,,,,
R7,1k,SM0603,3.1,3.375,180,F.Cu,RHM1.0KCGCT-ND,MF-RES-0603-1K,,,,,
R8,1k,SM0603,3.225,3.425,0,F.Cu,RHM1.0KCGCT-ND,MF-RES-0603-1K,,,,,
R9,1k,SM0603,3.225,3.525,180,F.Cu,RHM1.0KCGCT-ND,MF-RES-0603-1K,,,,,
R10,22,SM0603,0.675,3.125,180,F.Cu,RHM22CGCT-ND,MF-RES-0603-22,,,,,
R11,22,SM0603,0.675,3.2,180,F.Cu,RHM22CGCT-ND,MF-RES-0603-22,,,,,
R12,1k,SM0603,2.175,1.625,90,F.Cu,RHM1.0KCGCT-ND,MF-RES-0603-1K,,,,,
R13,1k,SM0603,3.1,1.775,0,F.Cu,RHM1.0KCGCT-ND,MF-RES-0603-1K,,,,,
R14,1k,SM0603,3.225,1.825,0,F.Cu,RHM1.0KCGCT-ND,MF-RES-0603-1K,,,,,
R15,1k,SM0603,3.225,1.525,0,F.Cu,RHM1.0KCGCT-ND,MF-RES-0603-1K,,,,,
R16,1k,SM0603,3.1,1.475,0,F.Cu,RHM1.0KCGCT-ND,MF-RES-0603-1K,,,,,
R17,1k,SM0603,3.1,1.675,0,F.Cu,RHM1.0KCGCT-ND,MF-RES-0603-1K,,,,,
R18,1k,SM0603,3.1,1.575,180,F.Cu,RHM1.0KCGCT-ND,MF-RES-0603-1K,,,,,
R19,1k,SM0603,3.225,1.625,0,F.Cu,RHM1.0KCGCT-ND,MF-RES-0603-1K,,,,,
R20,1k,SM0603,3.225,1.725,180,F.Cu,RHM1.0KCGCT-ND,MF-RES-0603-1K,,,,,
R22,100,SM0603,0.55,1.675,0,F.Cu,RHM100CGCT-ND,MF-RES-0603-100,,,,,
R23,100,SM0603,0.55,1.75,0,F.Cu,RHM100CGCT-ND,MF-RES-0603-100,,,,,
R24,100,SM0603,0.55,1.825,0,F.Cu,RHM100CGCT-ND,MF-RES-0603-100,,,,,
R25,1k,SM0603,0.55,1.9,0,F.Cu,RHM1.0KCGCT-ND,MF-RES-0603-1K,,,,,
R26,1k,SM0603,0.55,1.975,0,F.Cu,RHM1.0KCGCT-ND,MF-RES-0603-1K,,,,,
R27,1k,SM0603,0.55,2.05,0,F.Cu,RHM1.0KCGCT-ND,MF-RES-0603-1K,,,,,
R29,1k,SM0603,3.1,2.675,0,F.Cu,RHM1.0KCGCT-ND,MF-RES-0603-1K,,,,,
R30,1k,SM0603,3.225,2.725,0,F.Cu,RHM1.0KCGCT-ND,MF-RES-0603-1K,,,,,
R31,1k,SM0603,3.225,2.425,0,F.Cu,RHM1.0KCGCT-ND,MF-RES-0603-1K,,,,,
R32,1k,SM0603,3.1,2.375,0,F.Cu,RHM1.0KCGCT-ND,MF-RES-0603-1K,,,,,
R33,1k,SM0603,3.1,2.575,0,F.Cu,RHM1.0KCGCT-ND,MF-RES-0603-1K,,,,,
R34,1k,SM0603,3.1,2.475,180,F.Cu,RHM1.0KCGCT-ND,MF-RES-0603-1K,,,,,
R35,1k,SM0603,3.225,2.525,0,F.Cu,RHM1.0KCGCT-ND,MF-RES-0603-1K,,,,,
R36,1k,SM0603,3.225,2.625,180,F.Cu,RHM1.0KCGCT-ND,MF-RES-0603-1K,,,,,
R37,1k,SM0603,2.375,0.575,0,F.Cu,RHM1.0KCGCT-ND,MF-RES-0603-1K,,,,,
R38,1k,SM0603,2.3,0.3,180,F.Cu,RHM1.0KCGCT-ND,MF-RES-0603-1K,,,,,
R39,100k,SM0603,2.3,0.4,0,F.Cu,RHM100KCGCT-ND,MF-RES-0603-100K,,,,,
R40,1k,SM0603,2.1,2.225,180,F.Cu,RHM1.0KCGCT-ND,MF-RES-0603-1K,,,,,
R41,1k,SM0603,1.9,2.225,0,F.Cu,RHM1.0KCGCT-ND,MF-RES-0603-1K,,,,,
R42,1k,SM0603,2.225,2.225,180,F.Cu,RHM1.0KCGCT-ND,MF-RES-0603-1K,,,,,
SW1,RESET,SWITCH_SMD_4PIN,1.425,1.575,180,F.Cu,P12961SCT-ND,,,,,,
SW2,PROG,SWITCH_SMD_4PIN,1.9,1.575,180,F.Cu,P12961SCT-ND,,,,,,
SW3,LEARN,SWITCH_SMD_4PIN,2.575,0.375,180,F.Cu,P12961SCT-ND,,,,,,
U1,VNH5019,MultiPowerSO-30,3.75,3.45,0,F.Cu,497-13073-1-ND,,,,,,
U2,ATMEGA32U4-A,TQFP44,1.65,2.55,0,F.Cu,ATMEGA32U4-AU-ND,,,,,,
U3,VNH5019,MultiPowerSO-30,3.75,1.65,0,F.Cu,497-13073-1-ND,,,,,,
U4,R4_GPS,R4_SERIES_GPS,1.525,3.625,270,F.Cu,RXM-GPS-R4-TCT-ND,,,,,,
U5,VNH5019,MultiPowerSO-30,3.75,2.55,0,F.Cu,497-13073-1-ND,,,,,,
U6,MS_SERIES_DECODE,SSOP20_FIXED,2.425,0.8,0,F.Cu,LICAL-DEC-MS001-ND,,,,,,
U7,LR_SERIES_RECEIV,LR_SERIES_RECEIV,1.8,0.825,0,F.Cu,RXM-418-LR-ND,,,,,,
VR1,MCP1702,SOT23-SPECIAL,2.9,0.91,270,F.Cu,MCP1702T-3302E/CBCT-ND,,,,,,
VR2,L7805CDT,DPAK2,3.55,0.875,180,F.Cu,497-7255-1-ND,,,,,,
X1,CRYSTAL_SMD_4PIN,crystal_smd_5x3.,1.725,2,90,F.Cu,535-9122-1-ND,,,,,,
##,End,,,,,,,,,,,,
